aid,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType
1393,2775,3372,182758,22,59,0,4
1899,2676,142444,187839,53,8,0,4
1012,18490,257318,547022,59,21,0,6
747,17597,51385,1812549,35,71,0,6
833,30938,64193,76527,100,21,0,4
1322,23805,61383,781533,35,149,14314,11
1180,18621,33789,38268,22,21,0,4
2113,5459,191359,397092,59,142,0,6
1987,42358,107296,1723962,42,10,23017,11
303,40734,91145,585088,22,1,0,6
872,1341,33435,247742,53,47,0,6
575,11699,18785,783697,79,21,0,4
1482,388,214007,1611788,35,27,113,9
431,2775,3372,1623282,22,59,0,4
257,14315,73450,88701,22,234,0,4
625,5552,28603,971245,35,27,113,9
463,4365,37531,976993,95,57,0,6
2016,12206,590138,1468953,22,97,6885,9
1886,2874,49091,1783748,53,40,0,4
1346,4171,64185,329448,91,4,0,4
371,370,180131,247555,35,67,113,9
194,1025,12259,1281202,42,10,2801,11
1240,24704,48236,1407924,35,27,113,9
609,702,7042,1168890,52,10,2792,11
1506,68355,211666,1558738,77,94,0,4
1659,3088,53402,437961,22,27,113,9
962,702,17948,989744,59,24,5615,11
350,370,9206,31272,22,27,113,9
32,8864,90700,953084,35,43,113,9
674,452,351434,562374,42,10,7992,11
467,702,109959,1426020,59,10,2792,11
393,7630,36298,1107388,35,27,113,9
261,702,20048,109549,42,34,5615,11
1294,71804,189925,1391394,79,21,0,4
1617,1025,12259,1301258,42,24,2801,11
1467,15174,26003,443992,22,102,0,6
1253,3387,118015,612628,22,137,3826,11
1305,370,312755,486630,22,27,113,9
1996,1265,132038,957873,35,104,0,4
2230,79,2295,1551308,59,10,38,11
855,702,17948,1485808,59,24,5615,11
545,3993,63752,1041872,22,10,19256,11
1461,2775,3372,777424,22,21,0,4
1710,18090,417683,705014,35,31,0,4
2186,327,247243,735927,35,67,113,9
1666,44008,236972,1776904,79,21,0,4
34,327,196330,481638,42,67,113,9
2081,9106,177025,242510,79,73,0,4
1817,43300,332278,1618157,35,11,101873,9
2142,6370,566247,1435464,22,73,3473,9
1081,10122,61376,1594057,42,10,3733,11
1518,79,287556,876483,105,10,38,11
551,702,33405,1164394,59,10,376,11
106,1025,12259,1308506,42,10,2801,11
1370,702,20048,679056,20,1,5615,11
582,15131,25918,719097,35,69,8659,9
439,1487,1685,587154,53,4,0,4
982,778,294421,517331,35,102,0,6
657,4365,37531,110761,95,1,0,6
262,36285,162265,1676256,42,267,0,6
1834,18621,154634,1655956,35,21,0,4
824,164085,693157,1452528,22,101,0,4
1860,2033,2368,2456,53,4,0,4
1352,79,25739,659076,59,10,1455,11
2158,370,259725,385556,35,67,113,9
1028,388,29381,163917,35,27,113,9
92,5459,191359,386260,91,142,0,6
1260,2775,3372,1179259,22,59,0,4
1022,44008,366845,1313917,79,21,0,4
50,11487,629013,1251931,22,21,0,4
1078,2676,508738,1361879,109,8,0,4
1517,2161,2537,866966,22,27,0,6
110,702,17948,1250960,59,34,5615,11
1951,60,202560,727616,22,10,970,11
994,821,888,1010567,59,10,439,11
2,6484,82357,942372,22,43,3527,9
595,8203,27748,1039293,109,218,0,6
722,5552,158101,1388529,52,27,113,9
1614,23783,45909,1299729,35,43,167766,9
2083,1025,12259,881943,35,10,2801,11
1984,30938,64193,1664167,100,21,0,4
495,702,17948,575489,59,24,5615,11
724,1025,12259,1792358,42,10,2801,11
1216,53722,429552,731872,35,117,37854,9
669,2874,82532,1512016,53,4,0,4
214,3578,9927,10732,53,108,0,6
1133,5758,45115,895467,100,21,0,4
549,3993,184507,694315,53,239,18361,11
1174,16373,679527,1408083,79,21,0,4
1419,370,560668,1085463,22,67,113,9
712,118414,386429,1118339,42,47,0,6
2166,7229,17378,298837,22,24,6131,11
123,9106,370632,604328,79,21,0,4
1002,10122,15734,1750485,22,10,3733,11
665,53728,473128,833992,100,21,0,4
1656,9106,585103,1124597,79,21,0,4
229,2366,6658,507393,42,4,0,4
1251,40734,91145,823512,42,71,0,6
983,14420,666842,1367873,91,146,0,6
2117,5758,50037,423998,100,21,0,4
1654,14315,46577,1748010,109,234,0,4
1770,20475,308698,1155058,59,21,0,6
1825,702,33405,981458,59,34,376,11
1279,15131,357547,576519,35,69,8659,9
1679,2366,6658,1570993,91,4,0,4
791,5552,25571,864954,22,27,113,9
1895,327,428354,1180456,35,27,113,9
297,915,31020,1567112,22,51,0,4
134,95811,349894,1357401,35,43,85333,9
345,6946,43128,1668728,59,24,3794,11
1226,14818,286065,1238617,35,27,113,9
1928,8668,57846,1586839,42,10,17614,11
1336,21453,57109,67439,109,94,0,4
1225,2581,55479,726212,53,77,0,4
1760,61320,154618,1342637,60,51,0,4
1574,6946,43128,1329275,59,24,3794,11
315,5552,104187,888786,35,27,113,9
1362,327,152900,209941,35,67,113,9
1877,370,416402,1066964,22,67,113,9
447,26655,53088,623946,35,10,16279,11
334,915,994,122176,60,51,0,4
1561,79,2295,1220342,59,10,38,11
2156,990,1083,901792,22,117,526,9
663,5552,25571,617444,35,27,113,9
2058,5552,68476,507109,35,27,113,9
1926,915,994,491785,60,51,0,4
2181,2185,419704,709461,53,77,0,4
1799,7565,66166,439043,22,94,0,4
376,90654,261200,388096,22,19,0,4
1244,47823,111645,287583,100,21,0,4
2124,702,17948,572788,59,24,5615,11
860,9056,130718,499035,79,21,0,4
2177,4179,82042,1676273,35,27,113,9
1990,370,180131,503014,35,67,113,9
1175,370,445052,1145398,35,67,113,9
268,7630,589977,1138040,35,27,113,9
980,2161,2537,142232,22,27,0,6
213,14936,307271,476281,91,88,0,4
1943,44008,236972,1206344,79,47,0,4
1850,151421,584484,1285409,42,24,202610,11
485,370,294133,658046,22,27,113,9
235,702,15634,1517041,35,24,5615,11
704,6616,40366,1421634,35,11,3609,9
63,20887,85677,105495,35,67,0,4
2026,243,12298,647695,22,27,113,9
318,21017,97077,809404,77,179,0,4
952,702,52258,1026274,59,10,4669,11
331,2775,3372,416514,22,21,0,4
1229,20653,38531,516060,79,21,0,4
2167,778,69652,1180224,22,44,0,6
176,20418,216514,845281,77,94,0,4
1663,31330,153753,1157225,42,24,19673,11
735,1025,1123,1188774,42,24,542,11
884,79,25739,211155,59,10,1455,11
338,2676,416646,1104501,91,8,0,4
1552,8864,32337,413473,35,70,10552,9
1887,2775,3372,140566,22,21,0,4
382,702,20048,991692,42,34,5615,11
438,1341,148106,196838,95,47,0,6
482,915,31020,1540067,22,51,0,4
448,15174,26003,1373791,91,125,0,6
1185,2874,120329,935016,53,4,0,4
924,10001,195342,1452407,35,101,113,9
968,702,70152,1144660,42,10,2792,11
29,118036,384588,634063,53,77,0,4
2190,7565,307302,476343,91,94,0,4
1329,60,202560,284032,22,34,970,11
458,71804,262073,1147388,79,21,0,4
355,702,43458,1352776,42,10,4669,11
775,21017,208257,419905,91,204,0,4
143,370,321285,503034,35,67,113,9
1700,44008,100565,1580873,79,21,0,4
739,22802,648464,1310814,109,204,0,4
1993,44008,366845,1232232,79,21,0,4
1734,10959,384795,1373499,77,8,0,4
574,10959,269161,567786,109,8,0,4
742,9571,48509,1411537,35,30,5336,9
750,1341,33435,568200,53,47,0,6
375,2676,363541,589445,53,8,0,4
1135,5552,28603,251996,35,27,113,9
1302,702,18552,95639,53,34,5615,11
1458,285,59293,122797,42,48,0,6
323,42358,95714,1603793,35,10,28289,11
1157,61320,154618,206895,42,51,0,4
419,452,59121,1077208,53,10,12193,11
2203,285,13953,382933,42,30,0,6
138,370,498583,1284147,22,67,113,9
558,1025,36329,188648,42,24,11636,11
157,370,67404,1393492,35,67,113,9
264,29704,60929,631257,95,108,0,6
2024,6501,142203,1168080,35,97,3535,9
397,29704,60929,1007987,95,1,0,6
1410,21453,209946,323983,91,94,0,4
1633,7630,664729,1361278,35,67,113,9
1505,285,13953,328499,20,1,0,6
1166,15174,26003,1494940,95,102,0,6
2130,9196,48021,1705964,53,77,0,4
857,14315,24111,957547,35,234,0,4
430,2896,3559,1259336,79,21,0,4
633,1265,1409,1435,22,104,0,4
680,20475,308698,866907,95,1,0,6
2051,10122,359691,1336624,42,10,3733,11
819,93609,715378,1525868,22,28,0,6
651,117647,382695,630285,35,74,0,4
1730,388,457500,967386,20,1,113,9
1551,3993,184507,1370685,53,10,18361,11
905,11437,18237,1630898,100,21,0,4
1243,1082,90865,112806,35,1,0,6
2045,1082,13590,1673964,22,131,0,6
274,6946,10039,321717,53,24,3794,11
1079,26400,52435,1760666,53,4,0,4
1113,2676,268867,402228,91,8,0,4
814,327,105959,425296,22,27,113,9
1863,702,18552,1446823,53,24,5615,11
693,2676,56505,197226,53,8,0,4
1567,16373,95614,119607,79,21,0,4
1492,370,221531,316836,35,67,113,9
99,53728,129847,1600143,100,21,0,4
614,79,324516,1797366,105,24,1455,11
1324,702,73550,742542,53,10,2792,11
131,16484,234956,340881,53,4,0,4
1690,53728,129847,1758060,100,21,0,4
1184,40734,91145,695498,42,1,0,6
1815,18621,33789,771557,22,21,0,4
564,5552,25571,477526,35,27,113,9
201,9216,14078,702435,22,10,5119,11
1919,327,544240,1442007,35,67,113,9
1310,327,15499,664584,35,27,113,9
955,7300,36763,905188,79,21,0,4
1615,2676,484911,1649339,91,8,0,4
2037,8864,123753,1557084,22,43,36269,9
586,79,2295,398246,59,10,38,11
285,7565,103691,1732278,77,94,0,4
970,32564,68415,722296,59,94,0,6
743,11195,17809,1014306,35,140,0,4
1067,13071,62704,519272,22,97,7387,9
456,6946,10039,1131069,53,24,3794,11
2137,2775,3372,531165,22,21,0,4
773,25169,664964,1361991,22,85,0,6
218,44008,687535,1435502,79,21,0,4
