aid,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType
1,1,1,1,22,1,0,1
2,2,2,2,53,2,0,1
3,3,3,3,59,3,0,2
4,4,4,4,35,4,0,2
5,5,5,5,100,3,0,1
6,6,6,6,35,5,1,3
7,7,7,7,22,3,0,1
8,8,8,8,59,6,0,2
9,9,9,9,42,7,2,3
10,10,10,10,22,8,0,2
11,11,11,11,53,9,0,2
12,12,12,12,79,3,0,1
13,13,13,13,35,10,3,4
14,1,1,14,22,1,0,1
15,14,14,15,22,11,0,1
16,15,15,16,35,10,3,4
17,16,16,17,95,12,0,2
18,17,17,18,22,13,4,4
19,18,18,19,53,14,0,1
20,19,19,20,91,15,0,1
21,20,20,21,35,16,3,4
22,21,21,22,42,7,5,3
23,22,22,23,35,10,3,4
24,23,23,24,52,7,6,3
25,24,24,25,77,17,0,1
26,25,25,26,22,10,3,4
27,23,26,27,59,18,7,3
28,20,27,28,22,10,3,4
29,26,28,29,35,19,3,4
30,27,29,30,42,7,8,3
31,23,30,31,59,7,6,3
32,28,31,32,35,10,3,4
33,23,32,33,42,20,7,3
34,29,33,34,79,3,0,1
35,21,21,35,42,18,5,3
36,30,34,36,22,21,0,2
37,31,35,37,22,22,9,3
38,20,36,38,22,10,3,4
39,32,37,39,35,23,0,1
40,33,38,40,59,7,10,3
41,23,26,41,59,18,7,3
42,34,39,42,22,7,11,3
43,1,1,43,22,3,0,1
44,35,40,44,35,24,0,1
45,36,41,45,35,16,3,4
46,37,42,46,79,3,0,1
47,36,43,47,42,16,3,4
48,38,44,48,79,25,0,1
49,39,45,49,35,26,12,4
50,40,46,50,22,25,13,4
51,41,47,51,42,7,14,3
52,33,48,52,105,7,10,3
53,23,49,53,59,7,15,3
54,21,21,54,42,7,5,3
55,23,32,55,20,8,7,3
56,42,50,56,35,27,16,4
57,43,51,57,53,15,0,1
58,44,52,58,35,21,0,2
59,16,16,59,95,8,0,2
60,45,53,60,42,28,0,2
61,7,54,61,35,3,0,1
62,46,55,62,22,29,0,1
63,47,56,63,53,15,0,1
64,33,57,64,59,7,17,3
65,20,58,65,35,16,3,4
66,13,59,66,35,10,3,4
67,8,8,67,91,6,0,2
68,1,1,68,22,1,0,1
69,37,60,69,79,3,0,1
70,48,61,70,22,3,0,1
71,2,62,71,109,2,0,1
72,49,63,72,22,10,0,2
73,23,26,73,59,20,7,3
74,50,64,74,22,7,18,3
75,51,65,75,59,7,19,3
76,52,66,76,22,19,20,4
77,53,67,77,109,30,0,2
