aid,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType
1,1,1,1,59,1,1,1
2,2,2,2,53,2,1,1
3,3,3,3,35,3,2,2
4,4,4,4,22,4,2,2
5,5,5,5,42,4,1,3
6,6,6,6,35,5,3,4
7,4,7,7,35,4,2,2
8,7,8,8,59,5,4,4
9,8,9,9,100,6,1,3
10,5,5,10,42,4,1,3
11,9,10,11,100,6,1,3
12,10,11,12,59,5,5,4
13,11,12,13,91,6,1,3
14,1,13,14,95,7,1,1
15,12,14,15,93,5,6,4
16,13,15,16,35,8,7,2
17,14,16,17,35,9,8,4
18,15,17,18,22,10,9,2
19,1,1,19,95,1,1,1
20,4,18,20,35,3,2,2
21,16,19,21,53,11,1,3
22,17,20,22,35,3,1,1
23,18,21,23,35,12,1,3
24,19,22,24,20,2,1,3
25,20,23,25,35,13,10,4
26,7,8,26,59,5,4,4
27,21,24,27,35,3,2,2
28,11,25,28,35,6,1,3
29,22,26,29,42,5,3,4
30,1,1,30,59,1,1,1
31,4,27,31,35,3,2,2
32,23,28,32,53,14,1,1
33,24,29,33,95,15,1,1
34,21,24,34,35,3,2,2
35,25,30,35,22,16,1,3
36,26,31,36,35,4,2,2
37,27,32,37,22,13,1,3
38,28,33,38,59,5,11,4
39,29,34,39,105,5,12,4
40,26,35,40,35,4,2,2
41,30,36,41,109,17,1,3
42,31,37,42,22,18,1,3
43,32,38,43,77,19,1,3
44,21,39,44,22,3,2,2
45,33,40,45,79,6,1,3
46,7,8,46,59,5,4,4
47,34,41,47,100,6,1,3
48,35,42,48,35,11,1,3
49,29,43,49,53,20,13,4
50,36,44,50,35,4,2,2
51,37,45,51,35,14,14,2
52,38,46,52,35,3,15,2
53,39,47,53,91,15,1,3
54,40,48,54,53,11,1,3
55,41,49,55,22,3,2,2
56,12,50,56,35,5,6,4
57,42,51,57,42,21,1,3
58,12,52,58,35,5,6,4
59,29,53,59,35,20,13,4
60,43,54,60,79,6,1,3
61,7,55,61,22,5,16,4
62,44,56,62,77,19,1,3
63,19,57,63,22,6,1,3
64,45,58,64,42,20,17,4
65,21,59,65,22,3,2,2
66,27,60,66,60,13,1,3
67,29,53,67,35,9,13,4
