aid,uid,label
94,235,1
35,348,1
135,379,1
43,355,1
103,280,1
24,350,0
136,214,0
25,304,0
147,244,0
158,294,0
49,238,0
103,213,0
22,381,0
158,317,0
103,283,0
32,330,0
34,266,0
161,268,0
136,320,0
111,323,0
128,223,0
155,303,0
147,397,0
32,253,0
76,224,0
125,367,0
47,209,0
4,347,0
23,229,0
171,208,0
169,351,0
48,331,0
72,255,0
48,387,0
6,314,0
3,377,0
18,291,0
153,373,0
93,290,0
66,310,0
172,333,0
128,382,0
165,233,0
42,218,0
89,293,0
11,227,0
95,385,0
117,281,0
153,11,0
165,263,0
75,251,0
128,205,0
165,360,0
111,232,0
35,301,0
18,225,0
75,389,0
18,231,0
147,315,0
23,329,0
42,273,0
84,237,0
13,261,0
169,324,0
101,249,0
161,312,0
47,243,0
23,383,0
63,226,0
161,245,0
153,260,0
25,272,0
89,343,0
25,296,0
47,388,0
128,374,0
118,369,0
49,207,0
8,345,0
161,357,0
66,322,0
135,288,0
149,306,0
89,316,0
169,353,0
82,299,0
147,259,0
18,394,0
62,240,0
83,337,0
111,264,0
153,311,0
51,265,0
97,390,0
21,236,0
66,361,0
13,252,0
165,274,0
22,338,0
12,212,0
169,292,0
47,246,0
13,393,0
18,216,0
129,352,0
12,282,0
82,308,0
129,339,0
39,364,0
98,342,0
173,204,0
51,326,0
35,332,0
169,334,0
135,295,0
25,346,0
149,371,0
169,220,0
165,258,0
117,363,0
128,254,0
47,321,0
121,287,0
136,368,0
165,376,0
81,297,0
106,201,0
135,269,0
135,336,0
128,327,0
136,380,0
162,267,0
41,386,0
42,234,0
32,370,0
78,395,0
103,271,0
13,356,0
128,378,0
66,372,0
25,309,0
172,215,0
29,307,0
89,277,0
111,349,0
128,398,0
66,289,0
156,313,0
110,366,0
66,222,0
69,202,0
133,362,0
117,340,0
32,298,0
23,325,0
66,211,0
66,359,0
132,217,0
66,210,0
111,206,0
135,285,0
102,257,0
169,247,0
161,275,0
171,344,0
161,318,0
21,375,0
35,262,0
89,221,0
41,300,0
135,391,0
155,278,0
128,279,0
161,396,0
85,250,0
83,276,0
136,241,0
106,270,0
166,302,0
23,256,0
158,335,0
51,319,0
135,242,0
85,392,0
13,365,0
29,384,0
66,284,0
111,203,0
25,305,0
