aid,uid,label
699,78508957,-1
1991,3637295,-1
1119,19229018,-1
2013,79277120,-1
692,41528441,-1
1119,62381478,-1
117,36832847,-1
389,22023604,-1
432,39527165,-1
1468,47080817,-1
1468,56085174,-1
404,22117015,-1
369,20159477,-1
411,49029134,-1
1940,31132182,-1
846,4039629,-1
543,20601591,-1
1415,22744430,-1
136,9828105,-1
1918,10336143,-1
561,75233751,-1
1468,72903924,-1
692,81670516,-1
1215,9947318,-1
846,35278604,-1
174,64116325,-1
1749,33838753,-1
1507,1320930,-1
1254,28769142,-1
1119,48708770,1
846,18634306,-1
1119,40672131,-1
916,39650505,-1
1415,60864809,-1
1335,44072024,1
1781,44285573,-1
2216,61237244,-1
117,47475273,-1
1119,64954925,1
436,68093353,-1
411,5256406,-1
1379,69938159,-1
432,64938005,-1
1605,34025684,-1
1566,54876557,-1
432,38454452,-1
1918,60491542,-1
1415,51156977,1
1728,64335974,-1
1904,40936344,-1
1407,58000262,-1
302,81352665,-1
1291,38358319,-1
692,52145834,-1
903,2217066,-1
1254,52265874,-1
1496,22862228,-1
916,21818509,-1
1605,2258262,-1
70,31511040,-1
302,9685368,-1
2031,56023654,-1
916,24552689,-1
1119,72702682,-1
1950,6190305,-1
765,77351073,-1
2044,7984138,-1
1566,66815603,-1
1379,70317685,-1
699,32650128,-1
369,16417505,-1
191,34971131,-1
1415,57819574,-1
916,28622289,-1
1566,7994109,-1
966,53608383,-1
561,35347584,-1
1201,53886088,-1
692,73996764,-1
369,32300456,1
136,40196103,-1
404,3690099,-1
369,24131128,-1
1468,47910804,-1
1379,13140929,-1
894,3596334,1
7,66429852,-1
1379,60696969,-1
1468,35825134,-1
1819,77714697,-1
846,38348970,-1
1918,82156772,-1
561,50511083,-1
173,10178454,-1
1379,61856062,-1
191,55861836,-1
2048,19662838,-1
1291,34552591,-1
1107,42695592,-1
1350,41497358,-1
2031,27195866,-1
688,16162119,-1
1201,68010161,-1
191,29352320,-1
191,68506212,-1
914,14271524,-1
1284,53470326,-1
1107,75761304,-1
191,50045382,-1
1468,58950186,-1
70,73222626,-1
1566,52203658,-1
286,30810158,-1
529,35466183,-1
1605,38026129,-1
561,52873995,-1
173,53468309,-1
1566,14974603,-1
1950,54704299,-1
411,764565,-1
432,2255587,-1
1468,78517296,-1
1119,49549070,-1
1918,54468510,-1
1254,61321991,-1
1950,18919872,-1
692,60585954,-1
1468,63545149,1
1254,50134234,-1
1291,80262002,-1
1044,60089880,-1
2031,69561396,-1
1940,11004128,-1
1918,42721219,-1
173,46965109,-1
1379,18308214,-1
966,5481239,-1
1622,63304831,-1
1596,61563581,-1
136,25031802,-1
1254,48513746,-1
792,9988157,-1
561,81260936,-1
389,279902,-1
1714,54613804,-1
191,54129227,-1
336,52250353,-1
2031,10068646,1
1119,36527173,-1
231,57978528,-1
1918,30692162,-1
1596,6586514,-1
1918,54663149,-1
846,52592275,-1
420,21547984,1
302,66762714,-1
1566,49247015,-1
369,75796170,-1
1468,14354520,-1
916,4976076,-1
1468,35084182,-1
939,75365386,-1
136,9476214,-1
1338,19193584,-1
302,38465760,-1
2047,32701898,-1
1746,44752953,-1
411,42078922,-1
311,1620969,-1
1291,52411168,-1
914,16053777,-1
1468,6938995,-1
70,38063767,-1
692,75503662,-1
1781,24488149,-1
916,67312009,-1
1716,16054191,-1
692,27042690,-1
1379,27974696,1
411,17828902,-1
1622,20967479,-1
692,4357412,-1
1254,20623764,-1
1284,78202974,-1
960,42208088,-1
1350,71886464,-1
1044,47074301,-1
432,24477523,-1
1407,8852328,-1
1503,77951745,-1
1379,15095533,-1
1904,30866123,-1
302,20336345,-1
846,35156445,-1
1017,58534311,-1
1566,19634292,-1
1605,35534038,-1
692,74616878,-1
70,53811011,-1
